집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
2023-03-08,안성시,죽산면,031-678-3920,17519,경기도 안성시 죽산면 죽산초교길 61,경기도 안성시 죽산면 죽산리 348번지,37.0785587407,127.4224724114
2023-03-08,안성시,안성2동,031-678-4030,17596,경기도 안성시 도기동 강변로74번길 16,경기도 안성시 도기동 67-4번지,37.0006300624,127.2698577641
2023-03-08,안성시,안성1동,031-678-4010,17592,경기도 안성시 영동 낙원길 95,경기도 안성시 영동 410-1번지,37.0056775898,127.2742710258
2023-03-08,안성시,안성3동,031-678-4050,17572,경기도 안성시 당왕동 고수2로 11,경기도 안성시 당왕동 534-7번지,37.0142267321,127.2577551287
2023-02-15,안산시,호수동,031-481-6611,15473,경기도 안산시 단원구 광덕2로 125 (고잔동),경기도 안산시 단원구 고잔동 712-2번지,37.310248,126.824335
2023-02-15,안산시,단원구청,031-481-6000,15396,경기도 안산시 단원구 중앙대로 685 (초지동),경기도 안산시 단원구 초지동 666-2번지,37.320905,126.815245
2023-02-15,안산시,부곡동,031-481-5607,15306,경기도 안산시 상록구 성호로 326 (부곡동),경기도 안산시 상록구 부곡동 671-4번지,37.331777,126.860917
2023-02-15,안산시,고잔1동,031-481-6602,15333,경기도 안산시 단원구 화정천동로 252 (고잔동),경기도 안산시 단원구 고잔동 659-6번지,37.327035,126.819131
2023-02-15,안산시,본오3동,031-481-5606,15537,경기도 안산시 상록구 용신로 376 (본오동),경기도 안산시 상록구 본오동 873번지,37.301432,126.863783
2023-02-15,안산시,사2동,031-481-5603,15623,경기도 안산시 상록구 감골1로 52 (사동),경기도 안산시 상록구 사동 1344-5번지,37.289832,126.851853
2023-02-15,안산시,안산시청,031-481-2000,15335,경기도 안산시 단원구 화랑로 387 (고잔동),경기도 안산시 단원구 고잔동 515번지,37.321956,126.830878
2023-02-15,안산시,원곡동,031-481-6604,15377,경기도 안산시 단원구 부부로 55 (원곡동),경기도 안산시 단원구 원곡동 991-3번지,37.333274,126.791005
2023-02-15,안산시,선부1동,031-481-6608,15365,경기도 안산시 단원구 선부광장서로 47 (선부동),경기도 안산시 단원구 선부동 964-4번지,37.334253,126.804372
2023-02-15,안산시,중앙동,031-481-6603,15339,경기도 안산시 단원구 예술대학로 76 (고잔동),경기도 안산시 단원구 고잔동 672-2번지,37.323928,126.837652
2023-02-15,안산시,안산동,031-481-5611,15204,경기도 안산시 상록구 장하로 315 (수암동),경기도 안산시 상록구 수암동 506번지,37.361879,126.873353
2023-02-15,안산시,반월동,031-481-5610,15521,경기도 안산시 상록구 건건로 51 (건건동),경기도 안산시 상록구 건건동 641-2번지,37.306061,126.902202
2023-02-15,안산시,월피동,031-481-5608,15277,경기도 안산시 상록구 시낭북로 4 (부곡동),경기도 안산시 상록구 부곡동 738번지,37.333563,126.856553
2023-02-15,안산시,본오2동,031-481-5605,15543,경기도 안산시 상록구 각골로 75 (본오동),경기도 안산시 상록구 본오동 796-4번지,37.296207,126.872397
2023-02-15,안산시,사1동,031-481-5602,15582,경기도 안산시 상록구 석호로 171 (사동),경기도 안산시 상록구 사동 1304번지,37.297115,126.851033
2023-02-15,안산시,신길동,031-481-6613,15403,경기도 안산시 단원구 삼일로 42-7(신길동),경기도 안산시 단원구 신길동 1694번지,37.334582,126.783191
2023-02-15,안산시,사3동,031-481-5613,15595,경기도 안산시 상록구 해양로 8 (사동),경기도 안산시 상록구 사동 1511-1번지,37.294709,126.820045
2023-02-15,안산시,이동,031-481-5612,15513,경기도 안산시 상록구 이동로 46 (이동),경기도 안산시 상록구 이동 578-12번지,37.305465,126.860839
2023-02-15,안산시,초지동,031-481-6607,15445,경기도 안산시 단원구 초지동로 67 (초지동),경기도 안산시 단원구 초지동 728-1번지,37.309933,126.816819
2023-02-15,안산시,대부동,031-481-6591,15645,경기도 안산시 단원구 대부중앙로 97-9 (대부북동),경기도 안산시 단원구 대부북동 467번지,37.243477,126.585215
2023-02-15,안산시,일동,031-481-5601,15327,경기도 안산시 상록구 성호로 53 (일동),경기도 안산시 상록구 일동 706-3번지,37.310403,126.866199
2023-02-15,안산시,성포동,031-481-5609,15294,경기도 안산시 상록구 충장로 468 (성포동),경기도 안산시 상록구 성포동 585번지,37.320726,126.849486
2023-02-15,안산시,선부2동,031-481-6609,15230,경기도 안산시 단원구 지곡로 46 (선부동),경기도 안산시 단원구 선부동 997-2번지,37.338544,126.802745
2023-02-15,안산시,백운동,031-481-6605,15380,경기도 안산시 단원구 원선로 31 (원곡동),경기도 안산시 단원구 원곡동 821-1번지,37.328134,126.797157
2023-02-15,안산시,와동,031-481-6601,15245,경기도 안산시 단원구 선부로 273 (와동),경기도 안산시 단원구 와동 280-1번지,37.341632,126.825526
2023-02-15,안산시,본오1동,031-481-5604,15576,경기도 안산시 상록구 샘골로 16 (본오동),경기도 안산시 상록구 본오동 990번지,37.285133,126.864239
2023-02-15,안산시,상록구청,031-481-5000,15585,경기도 안산시 상록구 석호로 110 (사동),경기도 안산시 상록구 사동 1585번지,37.300692,126.846368
2023-02-15,안산시,선부3동,031-481-6710,15212,경기도 안산시 단원구 선삼로 47 (선부동),경기도 안산시 단원구 선부동 1135번지,37.345075,126.812595
2023-02-14,군포시,수리동,031-390-8507,15823,경기도 군포시 수리산로 38,경기도 군포시 산본동 1151-7번지,37.3560656,126.9210383
2023-02-14,군포시,재궁동,031-390-8505,15835,경기도 군포시 번영로550번길 25,경기도 군포시 금정동 850-4번지,37.3584406,126.9390419
2023-02-14,군포시,송부동,031-390-3689,15885,경기도 군포시 송부로74번길 3-32,경기도 군포시 도마교동 478-2,37.3162230,126.9238220
2023-02-14,군포시,궁내동,031-390-8508,15822,경기도 군포시 고산로517번길 10,경기도 군포시 산본동 1148-7번지,37.3596595,126.9218473
2023-02-14,군포시,군포1동,031-390-8500,15860,경기도 군포시 군포로 531,경기도 군포시 당동 751-15번지,37.3536106,126.9455607
2023-02-14,군포시,오금동,031-390-8506,15863,경기도 군포시 고산로 406,경기도 군포시 금정동 871-13번지,37.3510324,126.9295356
2023-02-14,군포시,대야동,031-390-8550,15886,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7번지,37.3302814,126.9153468
2023-02-14,군포시,산본1동,031-390-8502,15805,경기도 군포시 고산로724번길 13,경기도 군포시 산본동 73-26번지,37.3733685,126.9385782
2023-02-14,군포시,군포시청,031-392-3000,15829,경기도 군포시 청백리길 6,경기도 군포시 금정동 844번지,37.3612539,126.9361499
2023-02-14,군포시,광정동,031-390-8509,15824,경기도 군포시 광정로 106,경기도 군포시 산본동 1120-2번지,37.3620853,126.9279404
2023-02-14,군포시,군포2동,031-390-8501,15875,경기도 군포시 고산로 263,경기도 군포시 당동 871-1번지,37.3463472,126.9430785
2023-02-14,군포시,산본2동,031-390-8503,15803,경기도 군포시 고산로 663,경기도 군포시 산본동 1065-1번지,37.3700207,126.9327105
2023-02-14,군포시,금정동,031-390-8504,15827,경기도 군포시 금산로 35,경기도 군포시 금정동 705-5번지,37.3654002,126.9392711
2023-02-13,광주시,도척면,031-760-4940,12815,경기도 광주시 도척면 노곡로 20,경기도 광주시 도척면 노곡리 58-14번지,37.3048153,127.3311699
2023-02-13,광주시,퇴촌면,031-760-4959,12711,경기도 광주시 퇴촌면 탑골길 6,경기도 광주시 퇴촌면 광동리 327-1번지,37.46690935,127.3071219
2023-02-13,광주시,남종면,031-760-4973,12708,경기도 광주시 남종면 분원길 9,경기도 광주시 남종면 분원리 132번지,37.49427185,127.3019843
2023-02-13,광주시,남한산성면,031-760-4984,12704,경기도 광주시 남한산성면 남한산성로 2,경기도 광주시 남한산성면 광지원리 112번지,37.46338016,127.2442802
2023-02-13,광주시,오포2동,031-760-1517,12797,경기도 광주시 양벌로 215번길 7,경기도 광주시 양벌동 371-2,37.377600,127.254500
2023-02-13,광주시,광주시청,031-760-2000,12738,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570번지,37.42943296,127.255084
2023-02-13,광주시,곤지암읍,031-760-2443,12801,경기도 광주시 곤지암읍 광여로 59,경기도 광주시 곤지암읍 곤지암리 135-3번지,37.35093417,127.3523773
2023-02-13,광주시,능평동,031-760-1575,12773,경기도 광주시 창뜰아랫길 6,경기도 광주시 능평동 318-1,37.349700,127.167300
2023-02-13,광주시,쌍령동,031-760-1911,12791,경기도 광주시 경충대로 1461번길 26,경기도 광주시 쌍령동 149,37.3998726,127.2702286
2023-02-13,광주시,송정동,031-760-1938,12739,경기도 광주시 광주대로 216,경기도 광주시 송정동 302-21번지,37.42591129,127.2582033
2023-02-13,광주시,광남1동,031-760-1965,12785,경기도 광주시 고불로 73-31,경기도 광주시 태전동 261-20,37.392020,127.229680
2023-02-13,광주시,오포1동,031-760-4834,12790,경기도 광주시 오포로859번길 29(추자동),경기도 광주시 추자동 102-16번지,37.3661517,127.228625
2023-02-13,광주시,초월읍,031-760-2632,12735,경기도 광주시 초월읍 경충대로 1241,경기도 광주시 초월읍 대쌍령리 211-2번지,37.38524761,127.2879413
2023-02-13,광주시,신현동,031-760-1544,12820,경기도 광주시 신현로 109,경기도 광주시 신현동 383-7,37.35964862,127.1588488
2023-02-13,광주시,경안동,031-760-4504,12755,경기도 광주시 중앙로 125,경기도 광주시 경안동 53-2번지,37.4108575,127.2572896
2023-02-13,광주시,탄벌동,031-760-2050,12747,경기도 광주시 탄벌길 6,경기도 광주시 탄벌동 717-5번지,37.419690,127.246100
2023-02-13,광주시,광남2동,031-760-2996,12784,경기도 광주시 태봉로 45,경기도 광주시 태전동 249-2번지,37.389029,127.2298141
2023-02-13,수원시,연무동 행정복지센터,031-228-5611,16265,경기도 수원시 장안구 경수대로 757,경기도 수원시 장안구 연무동 181-1번지,37.29055825,127.021541
2023-02-13,수원시,도시안전통합센터,"031-228-2595, 1899-3300",16226,경기도 수원시 영통구 대학4로 33,경기도 수원시 영통구 이의동 1246-1번지,37.29932522,127.0481591
2023-02-13,수원시,율천동 행정복지센터,031-228-5605,16417,경기도 수원시 장안구 서부로2106번길 27,경기도 수원시 장안구 율전동 433-2번지,37.29761925,126.9714224
2023-02-13,수원시,장안구청,1899-3300,16295,경기도 수원시 장안구 송원로 101,경기도 수원시 장안구 조원동 888번지,37.30337225,127.0096118
2023-02-13,수원시,정자1동 행정복지센터,031-228-5626,16339,경기도 수원시 장안구 정자로130번길 20,경기도 수원시 장안구 정자동 840-96번지,37.30220425,126.9912947
2023-02-13,수원시,조원1동 행정복지센터,031-228-5610,16282,경기도 수원시 장안구 금당로 56,경기도 수원시 장안구 조원동 735번지,37.30178713,127.0165051
2023-02-13,수원시,파장동 행정복지센터,031-228-5604,16204,경기도 수원시 장안구 파장천로 60,경기도 수원시 장안구 파장동 381,37.31031588,126.9974241
2023-02-13,수원시,세류1동 행정복지센터,031-228-6822,16593,경기도 수원시 권선구 세류로38번길 10,경기도 수원시 권선구 세류동 223-2번지,37.26218991,127.007973
2023-02-13,수원시,세류3동 행정복지센터,031-228-6644,16576,경기도 수원시 권선구 정조로 557,경기도 수원시 권선구 세류동 476-11번지,37.25905154,127.011963
2023-02-13,수원시,평동 행정복지센터,031-228-6665,16599,경기도 수원시 권선구 평동로76번길 13,경기도 수원시 권선구 평동 35-6번지,37.25805741,126.9941629
2023-02-13,수원시,매교동 행정복지센터,031-228-7704,16465,경기도 수원시 팔달구 정조로715번길 17,경기도 수원시 팔달구 매교동 23,37.27107589,127.0162955
2023-02-13,수원시,우만1동 행정복지센터,031-228-7128,16237,경기도 수원시 팔달구 세지로 406,경기도 수원시 팔달구 우만동 506번지,37.28535274,127.0294144
2023-02-13,수원시,인계동 행정복지센터,031-228-7930,16487,경기도 수원시 팔달구 인계로 123,경기도 수원시 팔달구 인계동 468,37.26795144,127.0305716
2023-02-13,수원시,행궁동 행정복지센터,031-228-7675,16251,경기도 수원시 팔달구 신풍로23번길 40,경기도 수원시 팔달구 신풍동 100번지,37.28404999,127.0126477
2023-02-13,수원시,화서2동 행정복지센터,031-228-7773,16425,경기도 수원시 팔달구 화산로6번길 6,경기도 수원시 팔달구 화서동 689-1번지,37.28509235,126.9862995
2023-02-13,수원시,광교2동 행정복지센터,031-228-8994,16512,경기도 수원시 영통구 법조로149번길 155,경기도 수원시 영통구 하동 976번지,37.29224098,127.0701228
2023-02-13,수원시,매탄2동 행정복지센터,031-228-8629,16524,경기도 수원시 영통구 매영로39번길 21,경기도 수원시 영통구 매탄동 198-99번지,37.2701534,127.0474312
2023-02-13,수원시,영통구청,1899-3300,16545,경기도 수원시 영통구 효원로 407,경기도 수원시 영통구 매탄동 1268번지,37.2596127,127.0465469
2023-02-13,수원시,망포1동 행정복지센터,031-228-1061,16692,경기도 수원시 영통구 영통로90번길 4-16,경기도 수원시 영통구 망포동 484번지,37.23778059,127.0608267
2023-02-13,수원시,권선구보건소,031-228-6716,16626,경기도 수원시 권선구 호매실로 22-50,경기도 수원시 권선구 탑동 910번지,37.25874098,126.9711303
2023-02-13,수원시,영통구보건소,031-228-8716,16703,경기도 수원시 영통구 영통로 396,경기도 수원시 영통구 영통동 961-18번지,37.25689587,127.0697261
2023-02-13,수원시,화성사업소,031-228-4402,16260,경기도 수원시 팔달구 행궁로 18,경기도 수원시 팔달구 남창동 68-5번지,37.28086712,127.0146084
2023-02-13,수원시,박물관사업소,031-228-4150,16227,경기도 수원시 영통구 창룡대로 265,경기도 수원시 영통구 이의동 1088-10번지,37.29764523,127.0356337
2023-02-13,수원시,도로교통관리사업소,"031-228-4272, 1899-3300",16623,경기도 수원시 권선구 서부로 1600,경기도 수원시 권선구 고색동 886-70번지,37.25238266,126.9764295
2023-02-13,수원시,정자2동 행정복지센터,031-228-5607,16312,경기도 수원시 장안구 송정로24번길 34,경기도 수원시 장안구 정자동 32-7번지,37.29507721,127.0004477
2023-02-13,수원시,정자3동 행정복지센터,031-228-5712,16333,경기도 수원시 장안구 대평로 85,경기도 수원시 장안구 정자동 879-4번지,37.29569274,126.9925796
2023-02-13,수원시,조원2동 행정복지센터,031-228-5613,16294,경기도 수원시 장안구 송원로 109-50,경기도 수원시 장안구 조원동 877번지,37.30561697,127.0096762
2023-02-13,수원시,곡선동 행정복지센터,031-228-6651,16667,경기도 수원시 권선구 동수원로146번길 174,경기도 수원시 권선구 곡반정동 522번지,37.24332719,127.0333289
2023-02-13,수원시,송죽동 행정복지센터,031-228-5609,16305,경기도 수원시 장안구 송원로41번길 16-21,경기도 수원시 장안구 송죽동 502-1번지,37.30053128,127.0070576
2023-02-13,수원시,구운동 행정복지센터,031-228-6156,16408,경기도 수원시 권선구 구운로47번길 57-33,경기도 수원시 권선구 구운동 965번지,37.27711284,126.9714643
2023-02-13,수원시,권선1동 행정복지센터,031-228-6610,16566,경기도 수원시 권선구 경수대로352번길 29,경기도 수원시 권선구 권선동 1034-5번지,37.25774186,127.0246017
2023-02-13,수원시,권선2동 행정복지센터,031-228-6654,16558,경기도 수원시 권선구 권중로 85,경기도 수원시 권선구 권선동 1268-2번지,37.25132632,127.0297163
2023-02-13,수원시,권선구청,1899-3300,16626,경기도 수원시 권선구 호매실로 12,경기도 수원시 권선구 탑동 900번지,37.25764489,126.9719386
2023-02-13,수원시,금곡동 행정복지센터,031-228-6648,16397,경기도 수원시 권선구 금곡로196번길 20,경기도 수원시 권선구 금곡동 1119-4번지,37.27272561,126.9521961
2023-02-13,수원시,서둔동 행정복지센터,031-228-6846,16617,경기도 수원시 권선구 서호로 146,경기도 수원시 권선구 서둔동 207-13번지,37.27259807,126.9860686
2023-02-13,수원시,세류2동 행정복지센터,031-228-6663,16588,경기도 수원시 권선구 덕영대로 1107,경기도 수원시 권선구 세류동 980-1번지,37.25337736,127.0130821
2023-02-13,수원시,입북동 행정복지센터,031-228-6672,16367,경기도 수원시 권선구 입북로 17,경기도 수원시 권선구 입북동 429-9번지,37.29322089,126.959539
2023-02-13,수원시,호매실동 행정복지센터,031-228-6633,16400,경기도 수원시 권선구 칠보로 161,경기도 수원시 권선구 호매실동 1367번지,37.26622184,126.9570365
2023-02-13,수원시,고등동 행정복지센터,031-228-7765,16452,경기도 수원시 팔달구 고등로 37,경기도 수원시 팔달구 고등동 153-1번지,37.27347376,127.0011319
2023-02-13,수원시,매산동 행정복지센터,031-228-7844,16456,경기도 수원시 팔달구 매산로 45,경기도 수원시 팔달구 매산로2가 40-4,37.26888797,127.0059782
2023-02-13,수원시,수원시청,1899-3300,16490,경기도 수원시 팔달구 효원로 241,경기도 수원시 팔달구 인계동 1111번지,37.26344616,127.0287274
2023-02-13,수원시,우만2동 행정복지센터,031-228-7096,16498,경기도 수원시 팔달구 중부대로207번길 33,경기도 수원시 팔달구 우만동 108-3번지,37.27800204,127.0397701
2023-02-13,수원시,지동 행정복지센터,031-228-7649,16243,경기도 수원시 팔달구 세지로 339,경기도 수원시 팔달구 지동 143-1번지,37.28203184,127.0284649
2023-02-13,수원시,팔달구청,1899-3300,16255,경기도 수원시 팔달구 창룡대로 23,경기도 수원시 팔달구 매향동 49번지,37.28256171,127.0190196
2023-02-13,수원시,화서1동 행정복지센터,031-228-7971,16442,경기도 수원시 팔달구 동말로4번길 10,경기도 수원시 팔달구 화서동 184-357번지,37.2764586,126.9950437
2023-02-13,수원시,광교1동 행정복지센터,031-228-8369,16509,경기도 수원시 영통구 도청로89번길 20,경기도 수원시 영통구 이의동 1350번지,37.29018218,127.0473902
2023-02-13,수원시,경기도청,031-120,16508,경기도 수원시 영통구 도청로 30,경기도 수원시 영통구 이의동,37.2949837,127.0453902
2023-02-13,수원시,매탄1동 행정복지센터,031-228-8609,16532,경기도 수원시 영통구 인계로189번길 119,경기도 수원시 영통구 매탄동 176-4번지,37.27049637,127.0405264
2023-02-13,수원시,매탄3동 행정복지센터,031-228-8641,16548,경기도 수원시 영통구 동탄원천로881번길 76,경기도 수원시 영통구 매탄동 1279-1번지,37.25644458,127.0431039
2023-02-13,수원시,매탄4동 행정복지센터,031-228-8669,16541,경기도 수원시 영통구 산남로 26-4,경기도 수원시 영통구 매탄동 232-2번지,37.26511949,127.0487132
2023-02-13,수원시,영통1동 행정복지센터,031-228-8721,16712,경기도 수원시 영통구 봉영로1759번길 23,경기도 수원시 영통구 영통동 947-6번지,37.26633629,127.080556
2023-02-13,수원시,영통2동 행정복지센터,031-228-8741,16679,경기도 수원시 영통구 영통로217번길 12,경기도 수원시 영통구 영통동 977-3번지,37.24695806,127.0563197
2023-02-13,수원시,영통3동 행정복지센터,031-228-8982,16705,경기도 수원시 영통구 반달로 105,경기도 수원시 영통구 영통동 1011-3번지,37.25255899,127.0769112
2023-02-13,수원시,원천동 행정복지센터,031-228-8689,16518,경기도 수원시 영통구 중부대로 339,경기도 수원시 영통구 원천동 610번지,37.27351071,127.0532651
2023-02-13,수원시,망포2동 행정복지센터,031-228-8771,16686,경기도 수원시 영통구 태장로54번길 10,경기도 수원시 영통구 망포동 234-43번지,37.23885486,127.051632
2023-02-13,수원시,장안구보건소,031-228-5716,16295,경기도 수원시 장안구 송원로 101,경기도 수원시 장안구 조원동 888번지,37.30337225,127.0096118
2023-02-13,수원시,팔달구보건소,031-228-7716,16463,경기도 수원시 팔달구 팔달산로 6,경기도 수원시 팔달구 교동 56-1번지,37.27150183,127.0124579
2023-02-13,수원시,농업기술센터,031-228-2554,16631,경기도 수원시 권선구 온정로 45,경기도 수원시 권선구 오목천동 40번지,37.25011479,126.9631509
2023-02-13,수원시,상수도사업소,031-228-4920~22,16290,경기도 수원시 장안구 광교산로 119,경기도 수원시 장안구 하광교동 415,37.30106537,127.0275265
2023-02-13,수원시,도서관사업소,031-228-4710,16258,경기도 수원시 팔달구 신풍로23번길 68,경기도 수원시 팔달구 신풍동 123-69번지,37.28388754,127.0104151
2023-02-13,수원시,공원녹지사업소,031-228-4551,16429,경기도 수원시 권선구 수인로 126,경기도 수원시 권선구 서둔동 251,37.27419333,126.9839485
2023-02-13,수원시,미술관사업소,031-228-3800,16252,경기도 수원시 팔달구 정조로 833,경기도 수원시 팔달구 신풍동 238-1번지,37.28279165,127.0157242
2023-02-13,수원시,영화동 행정복지센터,031-228-5145,16269,경기도 수원시 장안구 수성로382번길 24,경기도 수원시 장안구 영화동 250-1,37.29314137,127.0139542
2023-02-10,가평군,북면행정복지센터,031-582-0301,12403,경기도 가평군 북면 가화로 1030-39 (목동리),경기도 가평군 북면 목동리 913-4,37.8881275,127.5492755
2023-02-10,가평군,상면행정복지센터,031-585-2001,12444,경기도 가평군 상면 청군로 1105 (연하리),경기도 가평군 상면 연하리 171-1번지,37.80471518,127.3567864
2023-02-10,가평군,가평읍행정복지센터,031-582-3002,12419,경기도 가평군 가평읍 가화로 62 (읍내리),경기도 가평군 가평읍 읍내리 366번지,37.82535111,127.5165557
2023-02-10,가평군,가평군청 제2청사,031-580-2222,12414,경기도 가평군 가평읍 석봉로 191번길 10 (읍내리),경기도 가평군 가평읍 읍내리 608-5번지,37.83208302,127.5086612
2023-02-10,가평군,조종면행정복지센터,031-580-4212,12438,경기도 가평군 조종면 조종내길 71 (현리),경기도 가평군 조종면 현리 567-7번지,37.81751581,127.353241
2023-02-10,가평군,설악면행정복지센터,031-584-7301,12467,경기도 가평군 설악면 한서로 8 (신천리),경기도 가평군 설악면 신천리 156-1번지,37.67621904,127.4947045
2023-02-10,가평군,가평군청,031-580-2114,12417,경기도 가평군 가평읍 석봉로 181 (읍내리),경기도 가평군 가평읍 읍내리 513번지,37.83144131,127.5095702
2023-02-10,가평군,청평면행정복지센터,031-584-3001,12452,경기도 가평군 청평면 은고개로 19 (청평리),경기도 가평군 청평면 청평리 333-1번지,37.74046263,127.4241417
2023-02-10,안양시,안양2동,,13990,경기도 안양시 만안구 안양로384번길 50 (안양동),경기도 안양시 만안구 안양동 842-2번지,37.4050822807,126.9178226744
2023-02-10,안양시,안양3동,,14007,경기도 안양시 만안구 양화로 28 (안양동),경기도 안양시 만안구 안양동 1195-33번지,37.3962787594,126.9147500087
2023-02-10,안양시,안양5동,,13998,경기도 안양시 만안구 냉천로157번길 18 (안양동),경기도 안양시 만안구 안양동 707-103번지,37.3942987059,126.9208434201
2023-02-10,안양시,안양6동,,14033,경기도 안양시 만안구 안양로170번길 23 (안양동),경기도 안양시 만안구 안양동 437-4번지,37.3900734390,126.9305685788
2023-02-10,안양시,안양8동,,14093,경기도 안양시 만안구 안양로111번길 17 (안양동),경기도 안양시 만안구 안양동 572-1번지,37.3841950257,126.9321379848
2023-02-10,안양시,석수2동,,13964,경기도 안양시 만안구 안양로 496 (석수동),경기도 안양시 만안구 석수동 279-1번지,37.4138648611,126.9093924366
2023-02-10,안양시,박달1동,,13984,경기도 안양시 만안구 양화로127번길 9 (박달동),경기도 안양시 만안구 박달동 50-2번지 (50-2 외1),37.4036693217,126.9091787016
2023-02-10,안양시,박달2동,,14016,경기도 안양시 만안구 박달로 470 (박달동),경기도 안양시 만안구 박달동 141-2번지,37.4019883135,126.9046950670
2023-02-10,안양시,안양시청,031-8045-5398,14053,경기도 안양시 동안구 시민대로 235,경기도 안양시 동안구 관양동 1590,37.3942983651,126.9568596548
2023-02-10,안양시,비산2동,031-8045-4610,13954,경기도 안양시 동안구 관악대로 106번길 70 (비산동),경기도 안양시 동안구 비산동 414-5번지,37.3979278508,126.9388357693
2023-02-10,안양시,부흥동,031-8045-4630,14045,경기도 안양시 동안구 달안로 28 (비산동),경기도 안양시 동안구 비산동 1103-1번지,37.3936675738,126.9471710801
2023-02-10,안양시,안양4동,,14002,경기도 안양시 만안구 냉천로193번길 34 (안양동),경기도 안양시 만안구 안양동 711-399번지,37.3965555386,126.9178660397
2023-02-10,안양시,안양7동,,14038,경기도 안양시 만안구 덕천로 115 (안양동),경기도 안양시 만안구 안양동 1397번지,37.3914677852,126.9337437885
2023-02-10,안양시,안양9동,,14019,경기도 안양시 만안구 병목안로142번길 12-9 (안양동),경기도 안양시 만안구 안양동 995-27번지,37.3914790466,126.9084271144
2023-02-10,안양시,석수1동,,13909,경기도 안양시 만안구 경수대로 1252 (석수동),경기도 안양시 만안구 석수동 806번지,37.4196306293,126.9106015939
2023-02-10,안양시,석수3동,,13972,경기도 안양시 만안구 충훈로90번길 36 (석수동),경기도 안양시 만안구 석수동 617번지,37.4092175784,126.8994061241
2023-02-10,안양시,동안구청,031-8045-4114,14047,경기도 안양시 동안구 동안로 158 (비산동),경기도 안양시 동안구 비산동 1111번지,37.3925059174,126.9512804856
2023-02-10,안양시,비산1동,031-8045-4600,13924,경기도 안양시 동안구 비산로 12 (비산동),경기도 안양시 동안구 비산동 475-1번지,37.3997783425,126.9337264561
2023-02-10,안양시,비산3동,031-8045-4620,13918,경기도 안양시 동안구 운곡로 34 (비산동),경기도 안양시 동안구 비산동 1023번지,37.4040709617,126.9455806013
2023-02-10,안양시,달안동,031-8045-4640,14043,경기도 안양시 동안구 달안로 65 (비산동),경기도 안양시 동안구 비산동 1101-5번지,37.3960972839,126.9501810217
2023-02-10,안양시,관양2동,031-8045-4660,13950,경기도 안양시 동안구 관양로 215 (관양동),경기도 안양시 동안구 관양동 1482-3번지,37.4022855003,126.9709931144
2023-02-10,안양시,평촌동,031-8045-4680,14061,경기도 안양시 동안구 흥안대로456번길 21 (평촌동),경기도 안양시 동안구 평촌동 75-16번지,37.3946509614,126.9770909419
2023-02-10,안양시,평안동,031-8045-4690,14068,경기도 안양시 동안구 관평로138번길 39 (평촌동),경기도 안양시 동안구 평촌동 896-4번지,37.3904021618,126.9642646183
2023-02-10,안양시,호계1동,031-8045-4710,14112,경기도 안양시 동안구 경수대로 538 (호계동),경기도 안양시 동안구 호계동 1003-7번지,37.3708692723,126.9583048289
